,Date,User,Tweet
0,2022-12-22 23:54:09+00:00,MrTrendwatch,Waite what I thought Sammy had 100k and one credit card how is he out on 250 million bail hmmmm  he’s gonna get a lot of mile on capital one !
1,2022-12-22 22:32:06+00:00,stickyisaslut,Cigarettes and sun are fun and sexy until you have to start getting shit cut off your face - anyway I’d do it again I was hot and had it all (a studio apartment in West Hollywood and a maxed out capital one card) and now I have a dermatologist 💋 https://t.co/YczRJzIxBL
2,2022-12-22 21:46:48+00:00,OmgItsJilly,"Here’s my Capital One credit card referral link. Before you apply, you can check if you’re pre-approved with no impact to your credit score: https://t.co/etT04LkpD2"
3,2022-12-22 21:32:30+00:00,mirza95815616,"How to Respond to Capital One Credit Card Offer? (2023)
https://t.co/vYj2f2GjXS https://t.co/q6C3yUzgUq"
4,2022-12-22 21:30:31+00:00,JarvoDaSlapa,just got that capital one card🤫
5,2022-12-22 21:20:28+00:00,VioletCityTah,I’m really thinking about getting the capital one venture card. Tryna get those points/miles up.
6,2022-12-22 20:41:28+00:00,PettwayEstates,@theficouple The other Capital one biz cards do report to personal (unless that’s changed) but the spark CASH card does not.
7,2022-12-22 20:22:42+00:00,T0DDIE,Lmao capital one can’t believe it’s me either 😭 they restricted my credit card and made me verify my identity 🙃
8,2022-12-22 20:13:26+00:00,AskCapitalOne,"@Meredit89113979 @AirCanada Thanks so much for stopping by Meredith.  Truly sorry for any inconvenience and confusion this may have caused. Just to clarify is this in reference to your US, UK, or Canada Capital One credit card? 
 ^ALEW https://t.co/8rlLS3lXH5"
9,2022-12-22 19:16:21+00:00,KissMyMahogany,"Here’s my Capital One credit card referral link. Before you apply, you can check if you’re pre-approved with no impact to your credit score: https://t.co/133cSs3rBH"
10,2022-12-22 18:51:49+00:00,JennMilhiser,"@CapitalOne who do I contact about problems with CreditWise? I cannot log in and customer service told me that I can’t log in because I do not have a Capital One card, but I registered for CreditWise last week"
11,2022-12-22 18:08:37+00:00,antoinettebiebs,Just got this capital one card time to rebuild my credit save and pay of all my debt 💸
12,2022-12-22 14:22:31+00:00,npashikant,Nearly 70% of Americans believe that having too low of a credit score will prevent them from qualifying for any type of credit card. That’s the top credit myth that emerged from new research from Capital One’s Insights Center. Really interesting findings! https://t.co/QPlhMcC8z3
13,2022-12-22 13:40:13+00:00,ChromeCattleCo,"@rbarhwestern Card hop if you can. Capital one and discover normally have promotional periods of no interest for like a year. Plus you earn cash back. Discover matches first year purchase in cash back. Once the promotional period is over, pay it off, close that one, and get a new one."
14,2022-12-22 09:48:17+00:00,BadGirlBabyJ,"Gunna try really hard to make $400 the next 2 days to pay off my Capital One card so that way I can start paying off my AmEx card a.s.a.p. 

#Adulting"
15,2022-12-22 04:52:57+00:00,emmettenroll2_w,"Here’s my Capital One credit card referral link. Before you apply, you can check if you’re pre-approved with no impact to your credit score: https://t.co/yNbuihIk4z What’s in your wallet? T-Money?"
16,2022-12-22 04:39:15+00:00,jzod138,@robbiegoodwin And the best way to get to that family is to get yourself a new Capital One card with limited interest for your butthole pains!
17,2022-12-22 03:44:05+00:00,LorenzJustin,"@rbarhwestern depends what you are looking for out of the card. my wife and i like to travel so we use a capital one venture card for the business, we like the travel perks that come with it."
18,2022-12-22 00:31:55+00:00,hari_balz,"@SmellsBadInHere I did this in 2008 
It was a great time at “Barcelona” in Scottsdale spilling dom on pre school teachers on the dance floor all on my 2900$ capital one card for free"
19,2022-12-21 23:36:49+00:00,lackey_lance,"Here’s my Capital One credit card referral link. Before you apply, you can check if you’re pre-approved with no impact to your credit score: https://t.co/7FE1yOOxJQ"
20,2022-12-21 21:33:38+00:00,repsummerslay,endorsements work cause i have a capital one card now
21,2022-12-21 20:26:42+00:00,mirza95815616,"How to Respond to Capital One Credit Card Offer? (2023)
https://t.co/vYj2f2XUPq https://t.co/w5ztlUb5po"
22,2022-12-21 18:43:05+00:00,flowerboss222,"Here’s my Capital One credit card referral link. Before you apply, you can check if you’re pre-approved with no impact to your credit score: https://t.co/9DRIBngdf6"
23,2022-12-21 18:36:15+00:00,infohowlercom,Capital One Quicksilver Secured Cash Rewards Credit Card​ Review https://t.co/eQ5V8fD0uN
24,2022-12-21 18:26:51+00:00,parete_antonio,@KissCoaching So you've got Internet for the media  but not your supposedly  boyfriend on Google chat . I suppose Marcus taking the pictures  . When are you going to pay off your fraud capital one card you took out in my name and bank details. Do your followers realise that you have cond me
25,2022-12-21 18:23:50+00:00,michaelgelina,@CapitalOne once again Capital One fails the client.  They cancelled my card while I am on vacation across the globe without a Visa Card.  Train your call center people!
26,2022-12-21 17:55:41+00:00,TheGodofwine77,"@SamuelLJackson I want to put some respect on your name, I'm holding my Capital One card and I wanted to wish you a happy birthday, slick.

One of of the coldest actors ever and you own the word motherfucker, anyone else who uses it should pay you commission https://t.co/SDHsNJluPp"
27,2022-12-21 17:19:01+00:00,nictothemarie,"hi guys...just wanted to drop in with a capital one referral code in case you're thinking of opening a card! Trying to pay off some credit cards so i could really use the bonus....but also the quicksilver card really is fantastic! 🤍
https://t.co/KrsbBXLyKf"
28,2022-12-21 16:55:58+00:00,SamiraAs2005,"Here’s my Capital One credit card referral link. Before you apply, you can check if you’re pre-approved with no impact to your credit score: https://t.co/noSMZvVrbq"
29,2022-12-21 16:51:51+00:00,whotrey,CAPITAL. ONE. THE CREDIT CARD COMPANY.
30,2022-12-21 16:32:41+00:00,c1techlead,Nearly 70% of Americans believe that having too low of a credit score will prevent them from qualifying for any type of credit card. That’s the top credit myth that emerged from new research from Capital One’s Insights Center. Really interesting findings! https://t.co/XvRfEZiuGv
31,2022-12-21 16:31:57+00:00,HTTP_Lovecraft,"@FungiAutomaton I usually try to avoid making any credit card purchases after the 8th of the month lest a balance shows between the 12th and 18th when Capital One reports to the credit bureaus. This was a forced exception.

But, hey, turns out it wasn't the $27. It was a mortgagey thing."
32,2022-12-21 14:37:44+00:00,DAMNJUICEx,literally FUCK capital one. HOW does it take you an entire week to post a payment?? oh and btw if someone commits credit card fraud on your card you’re innocent until proven guilty. Amex boi for life
33,2022-12-21 14:36:05+00:00,BeneirBoston,"Here’s my Capital One credit card referral link. Before you apply, you can check if you’re pre-approved with no impact to your credit score: https://t.co/DEot2hQeew"
34,2022-12-21 14:27:22+00:00,TopFinanceZone,Capital One Venture X Rewards Card Review https://t.co/LqtYlqijbA
35,2022-12-21 13:42:03+00:00,jsmithpinebluff,"Here’s my Capital One credit card referral link. Before you apply, you can check if you’re pre-approved with no impact to your credit score: https://t.co/5wkBrSGrgh"
36,2022-12-21 13:35:49+00:00,shelly_kinch,Nearly 70% of Americans believe that having too low of a credit score will prevent them from qualifying for any type of credit card. That’s the top credit myth that emerged from new research from Capital One’s Insights Center. Really interesting findings! https://t.co/j5bX0nY6TJ
37,2022-12-21 13:21:03+00:00,IRAOwnersManual,Is Capital One Venture X Card’s $395 Annual Fee Worth it? #PFshare via @thefrugalexpat1 https://t.co/9OJF6tdmvV
38,2022-12-21 11:10:17+00:00,amezquita724,"Here’s my Capital One credit card referral link. Before you apply, you can check if you’re pre-approved with no impact to your credit score: https://t.co/7Qkfb7wjqa"
39,2022-12-21 10:25:24+00:00,stay_locd_n,"@marcuslemonis What a blessing this would be to have these cards paid off. I’ve been trying to dig myself out of this hold but it almost seems impossible sometimes. My card debt $5670 total between 3 cards(Synchrony, Capital One and Navy Federal) #ThePayoff"
40,2022-12-21 08:51:03+00:00,moneyjunkie84,@marcuslemonis CAPITAL ONE IS A GREAT CREDIT CARD 💳 BUILDING CREDIT https://t.co/CiqaCLBcsa #ThePayoff
41,2022-12-21 03:15:24+00:00,hnterdisney,"@marcuslemonis I owe $1239 in totaled right now. I have my Capital One card, Hot Topic (opened this when I was younger and irresponsible), and my Walmart credit card. 

#ThePayoff"
42,2022-12-21 02:39:05+00:00,fullofgrace82,"Here’s my Capital One credit card referral link. Before you apply, you can check if you’re pre-approved with no impact on your credit score: https://t.co/1rMK3BwQYI"
43,2022-12-21 02:19:24+00:00,slywink1429,@wcytotheshow I had trouble with my Capital One card and Ticket Master tried 2x to bill it. Capital One flagged it as suspicious activity!! I got an email from Ticketmaster later saying my order was unfulfilled.
44,2022-12-21 01:22:58+00:00,MEdwardCanter,"The money is yours and it does not expire and you will get it in a gift card, though they have tons to choose from. I wait til the end of the year. Next week I will have $500+ to claim from Capital One"
45,2022-12-20 23:14:20+00:00,LDonivan,@MadScientistFF Do they think it would be better to run up credit card debt? Who even came up with this? JP Morgan Chase and Capital One?
46,2022-12-20 22:05:54+00:00,sIowIikehoneys,"@AnseIsbaee @TMFanSupport question, are u guys using capital one/mastercard to try to pay? ive heard thats the issue and thats what im trying to use too but i dont have any other card 🥴"
47,2022-12-20 21:28:51+00:00,csu_daniel,@elizableu @congonese Imagine what Biden could do with his unlimited Capital One credit card.
48,2022-12-20 21:02:04+00:00,JoeCuddy1,Nearly 70% of Americans believe that having too low of a credit score will prevent them from qualifying for any type of credit card. That’s the top credit myth that emerged from new research from Capital One’s Insights Center. Really interesting findings! https://t.co/dw3SdtxpMy
49,2022-12-20 20:27:02+00:00,StefanieGaston3,@LaurenLipman @TMFanSupport YAY!!!Honestly praying for you and have a good feeling about it! I was so sad the 1st time I mean I had the boost and capital one credit card and the preverification the code everything. I got a ticket on the 2nd chance! TY @taylorswift13
50,2022-12-20 20:26:37+00:00,coopasonic,Nearly 70% of Americans believe that having too low of a credit score will prevent them from qualifying for any type of credit card. That’s the top credit myth that emerged from new research from Capital One’s Insights Center. Really interesting findings! https://t.co/bDgNQINRbs
51,2022-12-20 20:13:26+00:00,mordechaihoff,@orlandorios Use @payplastiq with a 2% cash-back card like Capital One Spark.
52,2022-12-20 20:10:50+00:00,pat_flippo,Nearly 70% of Americans believe that having too low of a credit score will prevent them from qualifying for any type of credit card. That’s the top credit myth that emerged from new research from Capital One’s Insights Center. Really interesting findings! https://t.co/S8hh5e7dS4
53,2022-12-20 20:04:06+00:00,AvonRepJames_G,"Here’s my Capital One credit card referral link. Before you apply, you can check if you’re pre-approved with no impact to your credit score: https://t.co/YTNhnW6zhc"
